Cell_ID,Batch,Cell_Num,C_rate,Cap_Max,Slope_Capacity,Slope_EODV,Avg_CE,Cycles_Total
P462_NMC532_R2 design_Cell04,P462_NMC532_R2 design,4,6.0,0.02528332,-6.222986649810655e-06,-0.00020019565430479968,100.02123918764445,450
P462_NMC532_R2 design_Cell05,P462_NMC532_R2 design,5,6.0,0.02502041,-4.526413951015424e-06,-5.961506447604135e-05,99.81404075671111,450
P462_NMC532_R2 design_Cell06,P462_NMC532_R2 design,6,6.0,0.0250517,-3.35870545072654e-06,-0.00015262212152883326,99.88906139544444,450
P462_NMC532_R2 design_Cell16,P462_NMC532_R2 design,16,4.0,0.02881474,-4.984180364347519e-06,-0.0001289653511250303,99.98369623808888,450
P462_NMC532_R2 design_Cell17,P462_NMC532_R2 design,17,4.0,0.02913545,-5.80670427804587e-06,-0.000168039859785977,100.04031557437777,450
P462_NMC532_R2 design_Cell18,P462_NMC532_R2 design,18,4.0,0.02896009,-5.335222317147275e-06,-0.00012938322711125212,100.01731950842222,450
P492_NMC532_R1 design_Cell24,P492_NMC532_R1 design,24,1.0,0.01900441,-4.259025635626807e-06,0.00021498575890627534,99.9185103028316,600
P492_NMC532_R1 design_Cell25,P492_NMC532_R1 design,25,1.0,0.01902366,-2.3713465212403504e-06,0.00013504815986543756,99.93710891247048,600
P492_NMC532_R1 design_Cell26,P492_NMC532_R1 design,26,1.0,0.01904829,-2.833097385826097e-06,0.00015689579161913992,100.02524777731288,600
P492_NMC532_R1 design_Cell27,P492_NMC532_R1 design,27,1.0,0.01900958,-2.555669690749148e-06,0.00011726448422634063,99.87596826815854,600
P492_NMC532_R1 design_Cell28,P492_NMC532_R1 design,28,1.0,0.01911174,-1.4821624035067022e-06,0.00011262431763560068,99.94629870982084,600
P492_NMC532_R1 design_Cell29,P492_NMC532_R1 design,29,1.0,0.01905211,-2.2535910194195367e-06,0.00012566768754329252,99.98512062536135,600
P492_NMC532_R1 design_Cell30,P492_NMC532_R1 design,30,4.0,0.01861593,-4.9881537318159595e-06,0.00014778927779715635,99.94139844937706,600
P492_NMC532_R1 design_Cell31,P492_NMC532_R1 design,31,4.0,0.01872711,-5.1322001758338295e-06,0.00013756479864971633,99.96190061741763,600
P492_NMC532_R1 design_Cell32,P492_NMC532_R1 design,32,6.0,0.01805806,-5.00562774063264e-06,0.00012893539339525493,99.90271548503914,600
P492_NMC532_R1 design_Cell33,P492_NMC532_R1 design,33,6.0,0.01821824,-5.081558545162646e-06,0.00010049746174349969,99.90855212397706,600
P492_NMC532_R1 design_Cell35,P492_NMC532_R1 design,35,6.0,0.01811274,-4.827281878838574e-06,7.123196434294973e-05,100.04087153845143,600
P492_NMC532_R1 design_Cell36,P492_NMC532_R1 design,36,8.0,0.01920639,-7.097168728524272e-06,9.731376970630197e-05,99.90137312028692,600
P492_NMC532_R1 design_Cell39,P492_NMC532_R1 design,39,9.0,0.01969475,-7.309953917372008e-06,0.00012022570157972253,99.90089852317384,600
P492_NMC532_R1 design_Cell40,P492_NMC532_R1 design,40,9.0,0.01936678,-6.9735652271256605e-06,0.00010822023292842286,99.99208670181514,600
P492_NMC532_R1 design_Cell41,P492_NMC532_R1 design,41,9.0,0.01950018,-7.1709822549507486e-06,8.378573067035908e-05,99.95323098476649,600
P492_NMC532_R1 design_Cell42,P492_NMC532_R1 design,42,9.0,0.01955726,-8.705418341995404e-06,3.366193078341402e-05,99.96024994570186,600
P492_NMC532_R1 design_Cell43,P492_NMC532_R1 design,43,9.0,0.01955072,-7.125648719579795e-06,9.473943646481648e-05,99.97716543593707,600
P531_NMC811_R1 design_Cell01,P531_NMC811_R1 design,1,1.0,0.01826567,-1.51005806932798e-06,-2.6756976571047366e-05,100.0234262411365,600
P531_NMC811_R1 design_Cell02,P531_NMC811_R1 design,2,1.0,0.01825042,-2.473933071202995e-06,5.281747637659882e-05,99.98986499629117,600
P531_NMC811_R1 design_Cell03,P531_NMC811_R1 design,3,1.0,0.01826734,-1.093014492504399e-06,-5.183275186568258e-05,100.03615841340839,425
P531_NMC811_R1 design_Cell04,P531_NMC811_R1 design,4,4.0,0.01761145,-1.8322464481845991e-06,-7.37639023500077e-05,99.99786849669049,600
P531_NMC811_R1 design_Cell05,P531_NMC811_R1 design,5,4.0,0.01775065,-1.3640509308905623e-06,-0.00013067842041706668,99.96293857754496,425
P531_NMC811_R1 design_Cell06,P531_NMC811_R1 design,6,4.0,0.01755444,-2.5399493601371274e-06,-6.74353617929365e-07,99.97201461682795,600
P531_NMC811_R1 design_Cell08,P531_NMC811_R1 design,8,6.0,0.01719668,-2.4772682349117972e-06,-3.110142467343647e-06,99.99118169290522,600
P531_NMC811_R1 design_Cell10,P531_NMC811_R1 design,10,6.0,0.01704951,-1.913420536168165e-06,-6.575243766816274e-05,99.97406407759138,600
P531_NMC811_R1 design_Cell11,P531_NMC811_R1 design,11,9.0,0.01833736,-3.340510020165369e-06,-0.0001562732480592781,99.98377256896542,425
P531_NMC811_R1 design_Cell13,P531_NMC811_R1 design,13,9.0,0.01789212,-3.088807770577184e-06,-3.386592885869075e-05,99.97053812073347,600
P533_NMC532_R2 design_Cell01,P533_NMC532_R2 design,1,1.0,0.03177948,-5.208881095780861e-06,1.8205304352228965e-05,100.02087267620014,600
P533_NMC532_R2 design_Cell02,P533_NMC532_R2 design,2,1.0,0.0318868,-4.533414894485849e-06,2.016304252511486e-05,99.95171972554613,600
P533_NMC532_R2 design_Cell03,P533_NMC532_R2 design,3,1.0,0.03160277,-5.6350721824227674e-06,3.8161367947686584e-05,99.97526680827245,600
P540_NMC811_R2 deisgn_Cell04,P540_NMC811_R2 deisgn,4,6.0,0.02458551,-2.0780234483462118e-06,-0.0002491925176558936,100.02427534384886,450
P540_NMC811_R2 deisgn_Cell05,P540_NMC811_R2 deisgn,5,6.0,0.0242597,-3.01136030988978e-06,-0.0001877303795002273,100.0002532727158,600
P540_NMC811_R2 deisgn_Cell06,P540_NMC811_R2 deisgn,6,6.0,0.02424156,-1.6003610679474587e-06,-0.00017966623961816945,99.92475133312617,600
P540_NMC811_R2 deisgn_Cell07,P540_NMC811_R2 deisgn,7,4.5,0.02690644,-2.121217428234225e-06,-0.0001539171457031132,99.9759171788246,450
P540_NMC811_R2 deisgn_Cell09,P540_NMC811_R2 deisgn,9,4.5,0.0266758,-2.306190312195344e-06,-0.00011323565142986865,100.01164949691238,600
P540_NMC811_R2 deisgn_Cell10,P540_NMC811_R2 deisgn,10,1.0,0.0308878,-1.9430486495796277e-06,-0.00013190435199681648,99.97813905473863,600
P540_NMC811_R2 deisgn_Cell11,P540_NMC811_R2 deisgn,11,1.0,0.03120207,-2.247697848049606e-06,-5.458017701827462e-05,99.94723233171584,600
P540_NMC811_R2 deisgn_Cell12,P540_NMC811_R2 deisgn,12,1.0,0.0307198,-1.3838579482697232e-06,-0.00015426581241784253,99.95893525760239,450
