SOC (%)	OCV Promedio
0	2,696591136
1	3,004836508
2	3,131887698
3	3,213168184
4	3,282827504
5	3,341689558
6	3,385535531
7	3,414967617
8	3,433974681
9	3,446627254
10	3,455786295
11	3,463169053
12	3,469740367
13	3,476035707
14	3,482361288
15	3,488903659
16	3,49578361
17	3,503076977
18	3,510815757
19	3,518979064
20	3,527483097
21	3,536179515
22	3,544869166
23	3,553331604
24	3,561362643
25	3,568807435
26	3,575578798
27	3,581657841
28	3,587081163
29	3,591922063
30	3,596272293
31	3,600227939
32	3,603880341
33	3,607311354
34	3,610591672
35	3,613781011
36	3,616929223
37	3,620077774
38	3,623261224
39	3,626508561
40	3,629844329
41	3,633289528
42	3,636862331
43	3,640578633
44	3,644452466
45	3,648496314
46	3,652721346
47	3,657137594
48	3,66175408
49	3,666578916
50	3,671619373
51	3,676881939
52	3,682372363
53	3,688095689
54	3,694056282
55	3,700257858
56	3,706703504
57	3,713395697
58	3,720336329
59	3,727526723
60	3,734967658
61	3,742659382
62	3,75060164
63	3,75879369
64	3,767234327
65	3,775921901
66	3,78485434
67	3,79402917
68	3,803443538
69	3,813094229
70	3,82297769
71	3,833090045
72	3,843427121
73	3,853984458
74	3,864757336
75	3,875740787
76	3,886929613
77	3,898318404
78	3,909901551
79	3,921673265
80	3,93362759
81	3,945758417
82	3,958059502
83	3,970524476
84	3,983146864
85	3,995920096
86	4,008837525
87	4,021892446
88	4,035078105
89	4,048387729
90	4,061814535
91	4,07535176
92	4,088992686
93	4,102730662
94	4,116559139
95	4,130471707
96	4,14446213
97	4,158524394
98	4,172652758
99	4,186841809
100	4,201086531
